TEK,PCAL.5(J),PCAL.5(J),PCAL.1(A),PCAL.2(K),PCAL.2(K),PCAL.1(C),PCAL.1(B),PCAL.1(G),PCAL.1(G),PCAL.2(N)
value,10,10,10,10,10,10,10,10,10,10
answer,C,A,B,C,B,C,D,B,10,10
type,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR
12501,,,,,,,,,,
12502,+C,+A,A,A,+B,+C,+D,+B,8,10
12503,+C,D,D,+C,+B,+C,B,A,2,10
12504,+C,C,D,A,+B,+C,+D,A,0,0
12505,,,,,,,,,,
12506,+C,+A,+B,+C,+B,+C,+D,+B,4,9
12507,+C,+A,C,+C,+B,D,C,A,1,3
12508,,,,,,,,,,
12509,D,B,+B,A,+B,+C,+D,A,0,2
12510,+C,+A,A,+C,+B,A,+D,A,0,10
12511,+C,+A,A,+C,A,+C,B,A,8,9
12512,+C,+A,D,A,A,+C,+D,A,0,10
12513,,,,,,,,,,
12514,+C,B,C,A,+B,+C,B,A,0,0
12515,,,,,,,,,,
12516,,,,,,,,,,
12517,+C,D,D,+C,+B,D,+D,A,10,9
12518,,,,,,,,,,
12519,,,,,,,,,,
12520,,,,,,,,,,
12521,+C,D,A,+C,A,D,C,A,2,7
12522,,,,,,,,,,
12523,,,,,,,,,,
12524,,,,,,,,,,
12525,+C,+A,A,+C,D,A,C,A,0,2
12526,+C,D,+B,A,D,+C,+D,A,1,1
