TEK,PCAL.3(A),PCAL.3(A),PCAL.3(A),PCAL.3(A),PCAL.3(H),PCAL.3(F),PCAL.3(F),PCAL.3(F),PCAL.4(I),PCAL.2(G),PCAL.2(N),PCAL.2(N),PCAL.4(B),PCAL.2(P),PCAL.5(M),PCAL.4(E),PCAL.4(E),PCAL.4(G),PCAL.4(H),PCAL.5(N),PCAL.5(N),PCAL.5(N),PCAL.5(D),PCAL.5(C),PCAL.5(C),PCAL.5(C),PCAL.5(C),PCAL.5(B),PCAL.5(B),PCAL.1(G)
value,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
answer,C,D,B,A,D,C,B,D,B,A,D,A,C,B,B,A,B,C,C,C,D,C,C,B,C,D,A,C,4,4
type,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR
12501,+C,+D,+B,+A,A,+C,+B,+D,+B,D,+D,+A,B,A,D,D,+B,A,D,D,B,A,A,C,B,+D,+A,D,0,0
12502,+C,+D,+B,+A,A,+C,+B,+D,+B,+A,C,+A,+C,+B,D,+A,+B,A,+C,D,A,,+C,+B,+C,C,,,0,0
12503,+C,B,D,+A,C,A,+B,+D,+B,C,+D,+A,+C,+B,+B,C,+B,D,+C,A,+D,A,B,A,+C,C,D,B,0,0
12504,+C,+D,+B,+A,C,A,D,C,A,C,B,D,+C,A,+B,D,+B,A,+C,B,+D,A,A,C,B,+D,+A,+C,0,0
12506,+C,+D,+B,+A,+D,A,+B,+D,C,+A,C,+A,A,+B,D,C,+B,A,D,+C,+D,B,+C,A,+C,+D,+A,+C,0,4
12507,+C,+D,+B,+A,C,+C,+B,+D,A,C,+D,+A,+C,A,C,+A,+B,+C,+C,+C,B,+C,+C,C,+C,+D,+A,D,4,0
12508,+C,+D,+B,+A,+D,+C,+B,+D,A,C,C,+A,+C,C,+B,C,+B,A,B,D,B,A,B,A,+C,+D,+A,B,3,4
12509,+C,+D,+B,+A,C,A,+B,+D,+B,+A,C,D,+C,D,+B,+A,A,+C,D,+C,A,+C,D,A,+C,+D,+A,B,0,0
12510,+C,+D,+B,+A,+D,+C,+B,C,C,+A,C,+A,+C,D,+B,+A,+B,+C,D,B,C,A,+C,+B,+C,+D,D,+C,4,0
12511,+C,+D,+B,+A,B,+C,+B,+D,+B,+A,+D,+A,+C,C,A,B,C,+C,+C,+C,B,B,A,+B,+C,C,C,B,0,0
12512,+C,+D,+B,B,A,A,+B,+D,C,C,+D,+A,+C,C,C,B,+B,+C,B,A,B,A,+C,+B,+C,+D,+A,B,0,0
22611,+C,+D,+B,+A,C,+C,+B,+D,+B,D,B,+A,+C,C,+B,C,C,A,+C,+C,+D,A,B,A,+C,+D,+A,+C,4,0
22623,+C,+D,+B,+A,C,+C,+B,+D,A,C,+D,+A,B,A,D,+A,+B,+C,+C,+C,C,+C,+C,+B,+C,+D,+A,B,0,0
12513,+C,+D,+B,+A,C,A,+B,+D,A,C,+D,+A,+C,+B,D,B,C,+C,+C,+C,B,+C,+C,A,+C,+D,B,+C,0,0
12514,+C,+D,+B,+A,+D,+C,+B,+D,C,+A,+D,+A,+C,A,+B,+A,+B,+C,A,D,B,+C,+C,A,+C,+D,+A,+C,0,0
12515,+C,+D,+B,+A,+D,A,C,+D,+B,C,+D,+A,+C,C,+B,B,+B,+C,A,A,B,+C,+C,A,+C,+D,+A,+C,0,0
12516,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,+B,+B,+A,+B,D,+C,D,A,A,+C,+B,+C,+D,D,B,0,0
12517,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,+B,+B,C,+B,B,+C,+C,C,+C,+C,+B,+C,+D,B,+C,0,0
32101,+C,+D,+B,+A,+D,A,+B,+D,A,D,B,D,A,C,+B,+A,+B,+C,B,+C,C,+C,B,C,+C,+D,D,B,0,0
12518,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,A,+B,,+B,+C,A,B,+D,+C,+C,A,+C,+D,+A,+C,4,0
12519,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,A,D,+A,+B,+C,A,,,+C,+C,A,+C,+D,+A,+C,4,0
12520,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,A,+B,+A,+B,+C,A,A,C,+C,+C,A,+C,+D,+A,+C,2,1
12521,+C,+D,+B,+A,+D,+C,+B,+D,C,+A,C,+A,+C,A,D,+A,+B,+C,+C,D,B,A,+C,+B,+C,+D,D,+C,4,0
12522,+C,+D,+B,+A,+D,A,+B,+D,+B,C,+D,+A,+C,C,A,+A,+B,A,D,+C,A,+C,+C,A,+C,+D,+A,+C,1,3
12523,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,+B,+B,+A,+B,+C,A,+C,C,+C,+C,A,+C,+D,+A,+C,1,0
12524,+C,+D,+B,+A,+D,+C,+B,+D,A,C,+D,+A,+C,C,A,+A,+B,A,D,+C,A,+C,+C,A,+C,+D,+A,+C,0,2
12525,+C,+D,+B,+A,C,+C,+B,+D,+B,C,+D,+A,+C,A,A,+A,+B,+C,,+C,C,+C,+C,+B,+C,+D,+A,B,4,0
12526,+C,B,D,+A,C,A,+B,C,C,B,B,C,A,+B,A,D,D,A,+C,+C,B,+C,A,D,+C,B,B,B,0,0
12527,+C,+D,+B,+A,+D,+C,+B,+D,C,+A,C,+A,+C,A,D,+A,+B,+C,+C,D,B,A,+C,+B,+C,+D,D,+C,0,0
